word,logfreq
drain,-10.91959862
university,-9.520949949
sheep,-11.17645323
behavioral,-10.89773983
twice,-9.741368703
remove,-9.217364987
distribute,-10.6416321
see,-6.519255268
anticipate,-10.78055757
signature,-11.02434545
infant,-10.69314563
draw,-8.839577136
patch,-10.80488967
fragment,-11.34741103
golden,-10.02905078
operation,-9.160997979
consideration,-10.37509246
well-known,-11.26606539
headquarters,-10.60870731
bill,-9.12496116
bullet,-10.55741402
grab,-9.722834053
island,-9.826526511
glove,-10.69314563
disk,-10.94761166
utilize,-11.12766306
fruit,-9.907897261
jar,-11.17645323
shall,-10.24597786
dissolve,-11.19811473
overwhelming,-10.95904035
substantial,-10.42436351
sight,-9.886827112
obvious,-9.969627355
sack,-11.24289833
consumption,-10.69756065
solve,-10.04735792
mm-hmm,-10.39451055
wisdom,-10.65851014
full,-8.666116723
investigator,-10.29209554
consumer,-9.377339913
gentleman,-10.33119827
plus,-10.17267504
young,-7.941760299
supermarket,-11.33060391
pat,-11.22774652
center,-8.705410092
compare,-9.143841274
limb,-10.9363121
finally,-8.610883184
devote,-10.78537686
assembly,-11.08114305
barrel,-10.71993295
glass,-9.111282677
screening,-11.33060391
effect,-8.460855392
economics,-10.7381983
bacteria,-10.9086095
hearing,-9.946395054
bias,-11.01822922
psychologist,-10.64582498
thinking,-9.941397126
tomato,-10.319003
saving,-10.24879874
plead,-10.91959862
beneath,-10.07072347
emergency,-9.98253076
consultant,-10.40436285
stage,-9.180868952
exit,-11.02434545
dam,-11.22774652
functional,-11.10746036
defendant,-10.79508567
socially,-11.25673406
reverse,-10.91849426
quickly,-8.983579372
jazz,-11.04292184
documentary,-11.17645323
asset,-10.18585046
acquire,-10.15967096
rider,-11.00610786
inherit,-11.29781409
injure,-10.99413167
grandchild,-11.25828325
tightly,-11.12088338
assessment,-9.746483804
presumably,-11.21876443
uncertain,-11.23529373
popular,-9.269878085
retreat,-11.3818972
someone,-8.456747409
core,-10.09464806
whisper,-10.28328491
brief,-10.2601625
leap,-10.89234898
noise,-10.12413422
warehouse,-11.39959678
greatly,-10.86060028
example,-9.164010374
vegetable,-10.05431044
remaining,-10.24597786
counselor,-10.51967369
bench,-10.56126759
spare,-11.31407461
coat,-10.24316492
salmon,-10.83489192
ecosystem,-11.19084197
fighting,-10.79021948
divide,-10.10928247
skirt,-10.91959862
preliminary,-11.24289833
icon,-11.22025585
heal,-11.25828325
successfully,-10.74281724
maximum,-10.93070985
onion,-10.39451055
council,-10.64582498
recommend,-9.940151537
funding,-10.22645144
fold,-10.86060028
etc,-10.70199525
colony,-10.95904035
literary,-10.46912141
chest,-9.903487553
belong,-9.931887027
entity,-11.03049932
moment,-8.319072107
tobacco,-10.65426385
persuade,-10.81977828
gold,-9.591600791
magazine,-9.348453674
whereas,-10.47618858
loan,-9.911519724
hostile,-11.17645323
interest,-8.44621762
office,-8.273890214
prevent,-9.422296734
inventory,-11.05550062
dump,-10.97643209
decade,-9.033089985
liability,-11.10081581
lucky,-10.21001271
consistent,-10.22369282
everywhere,-10.11965549
uncover,-11.27390856
brick,-10.80982795
pray,-10.37830274
garlic,-10.58076138
maker,-10.33735214
touchdown,-11.07467053
thick,-9.929831528
room,-7.866768247
counseling,-10.78537686
mainstream,-10.91408896
faster,-11.3059113
ranch,-11.10612791
dinner,-9.401500877
fur,-11.32230511
earn,-9.630411632
wear,-8.661306085
flexibility,-11.19811473
drift,-10.89773983
shelter,-10.62915792
racism,-11.06823964
isolated,-11.31407461
summary,-11.34741103
legislative,-10.89234898
criticism,-10.18055945
brain,-9.525051117
productivity,-11.12223564
eight,-9.087706897
creation,-10.18585046
testing,-10.39778387
anniversary,-10.85644227
courtroom,-11.10746036
unfold,-11.33060391
holiday,-10.10928247
bounce,-11.00610786
partial,-11.27390856
distinctive,-11.33561645
threaten,-9.736279634
profession,-10.57683211
declare,-9.99341226
chocolate,-10.47618858
action,-8.634862484
deputy,-10.45513517
pot,-10.28328491
remote,-10.58866656
arrival,-10.78537686
manufacturer,-10.26073409
union,-9.909505625
pen,-10.9251388
domestic,-9.826526511
diary,-11.23529373
cancer,-9.34272956
via,-10.44821473
bishop,-10.86060028
clerk,-11.03669129
reject,-10.14683381
vital,-10.63329872
elder,-11.10081581
supposed,-9.58285438
wet,-10.38152335
intelligence,-9.701363368
authority,-9.160303366
distinct,-10.74745762
tide,-11.11414935
limitation,-10.61683744
manipulate,-11.19811473
comparison,-10.19383985
main,-9.239769183
wage,-10.44821473
continuing,-10.95904035
advanced,-10.56513607
cargo,-11.40856545
guilt,-10.97060117
mushroom,-11.15525102
camera,-9.298079286
chart,-10.54214655
already,-8.270161253
locate,-9.933122358
dock,-11.37316352
weed,-11.28978191
working,-10.60064275
shine,-10.81977828
atop,-11.29781409
sustain,-10.66277454
predator,-11.33060391
cancel,-11.08114305
gather,-9.696473383
distant,-10.48688387
profound,-11.00610786
considerably,-11.3157153
skilled,-11.39959678
myth,-10.698446
pursuit,-11.06184985
sphere,-11.24289833
agenda,-10.21546232
sword,-11.06695841
summit,-10.75211964
hotel,-9.337038025
towards,-10.10928247
regular,-9.712867193
refuge,-11.31407461
marriage,-9.365825275
historic,-10.41431318
capture,-9.971766393
fewer,-10.11420858
cake,-10.4277362
chase,-10.81977828
quarter,-9.716178454
version,-9.476913481
hip,-10.46210384
say,-5.459457952
sentence,-10.17529628
agricultural,-10.66277454
impose,-10.31597728
distract,-11.27390856
ownership,-10.91408896
calculate,-10.6670572
voting,-11.12766306
hunt,-10.83998099
waist,-11.16226859
entirely,-10.0683622
full-time,-11.08114305
motivate,-10.89773983
west,-8.953653733
politician,-10.00441347
fan,-9.522315137
boom,-10.77098812
insight,-10.56513607
cord,-11.21282087
coastal,-11.08765773
gut,-11.21282087
rich,-9.434734705
forth,-10.04505112
corporation,-10.48330605
programming,-11.31407461
closet,-10.86582222
circuit,-11.10746036
follow,-8.234313884
compensation,-11.00010184
beautiful,-9.326874188
wing,-10.07072347
prominent,-10.62503421
apparent,-10.41765208
discourage,-11.19811473
aisle,-11.2505612
opinion,-9.47560885
organize,-9.907495574
simply,-8.816617265
discussion,-9.338173743
session,-9.837699812
distinction,-10.58470616
forest,-9.449867403
available,-8.870901113
cottage,-11.34402693
department,-9.54301981
outline,-11.24902392
cocaine,-11.19084197
vehicle,-9.635294157
exist,-9.345015275
party,-8.289950055
meal,-9.946395054
statistics,-10.52338427
outfit,-11.2505612
repeat,-9.897505481
connection,-9.737973114
quiet,-9.731216332
trailer,-11.11414935
punishment,-10.71541827
adapt,-10.62092743
landing,-10.98229721
tragedy,-10.61683744
beauty,-9.969627355
painting,-9.346160095
panel,-9.90148955
phrase,-10.48688387
hidden,-11.10081581
consequently,-11.14828235
soar,-11.33897216
productive,-11.06823964
glimpse,-11.29781409
barely,-10.0970723
stir,-10.01330242
leader,-8.569213065
external,-10.51229358
attract,-10.06224884
sea,-9.340449057
frontier,-11.24289833
irony,-11.25828325
business,-7.977016554
endure,-10.98819694
properly,-10.63745673
ethical,-10.81778028
partner,-9.391862249
establish,-9.190077066
rear,-11.08114305
input,-11.06823964
naturally,-10.59184622
shortage,-11.10081581
lately,-11.11549253
bathroom,-10.32813548
corridor,-10.83998099
lost,-10.54214655
essential,-10.07072347
blind,-10.53084699
theory,-9.198125281
bath,-11.04919145
grain,-10.76150938
substance,-10.24879874
clay,-11.35592172
invite,-9.918804257
fascinating,-11.19084197
chicken,-9.819146404
minority,-9.87392875
consent,-11.18362172
efficiency,-10.65851014
slavery,-11.27390856
orbit,-11.14828235
resume,-11.03669129
comedy,-10.75680349
material,-8.882793563
skill,-9.096395805
season,-8.589247888
photography,-11.06184985
wrist,-10.9086095
tooth,-9.995602841
discourse,-10.65851014
withdrawal,-11.12630344
stake,-10.48330605
cemetery,-11.29781409
sister,-9.141999713
impossible,-9.915560134
newspaper,-9.391862249
marker,-11.37316352
symptom,-10.25162759
policy,-8.338574314
buyer,-10.62338947
company,-7.702098326
growth,-9.087061356
voter,-9.693226627
actually,-8.361566459
regional,-9.87392875
acceptable,-10.85023749
pig,-10.89990433
foster,-11.18650356
install,-10.40766863
beam,-10.98819694
temperature,-9.875872386
poet,-10.63329872
gradually,-10.66277454
yours,-10.71541827
natural,-9.000152383
anywhere,-10.07309034
welfare,-10.04274962
pace,-10.46210384
ie,-10.39778387
dumb,-11.31407461
lamp,-11.03049932
lend,-10.94194592
dangerous,-9.791946178
inevitably,-11.33060391
mirror,-10.0177767
tale,-10.30995316
indeed,-9.184370527
aunt,-11.12088338
candidate,-9.250121242
preparation,-10.41098539
tactic,-10.81977828
drawer,-11.12088338
diversity,-10.38799587
spell,-11.24289833
traditionally,-10.97643209
specialist,-10.44890462
plastic,-9.815476675
preach,-11.39070783
steadily,-11.39070783
depression,-10.18585046
fraction,-11.34741103
left,-9.095441491
grasp,-11.16933576
sue,-10.73360059
encourage,-9.510095026
shopping,-10.53459934
laundry,-11.39070783
enemy,-9.897505481
tourism,-11.32230511
possible,-8.573361507
truly,-9.99341226
equation,-11.01822922
bare,-10.82479083
depth,-10.45861344
imply,-10.52710867
would,-6.186652522
transaction,-11.01215018
adviser,-10.52338427
fatal,-11.43596442
swear,-10.79997566
opt,-11.33897216
alien,-11.04919145
portrait,-10.50496754
direction,-9.296988179
produce,-8.710656589
dare,-10.81479074
unfair,-11.28181374
leg,-9.156761691
personality,-10.18850651
honest,-10.45861344
soften,-11.38541214
painful,-10.7244681
transform,-10.25730943
climb,-9.824676372
rose,-10.81977828
curriculum,-10.06131164
participation,-10.17267504
enterprise,-10.41098539
hour,-8.082852362
previous,-9.598948363
attend,-9.508746408
candy,-10.86060028
charter,-11.22025585
merchant,-11.14828235
promote,-9.625855816
closely,-10.17006066
weather,-9.899495531
weight,-9.280762836
efficient,-10.67135828
teaching,-9.82282965
rabbit,-11.21282087
tournament,-10.47618858
settlement,-10.23477326
jet,-10.74745762
rural,-10.08981713
logic,-10.86060028
go,-5.96857727
gasoline,-11.11549253
testimony,-10.47618858
arrange,-10.29209554
shoot,-9.045996109
innocent,-10.57291821
lovely,-10.78537686
practically,-11.08114305
exclusively,-11.2505612
municipal,-11.3059113
appreciation,-11.21282087
transition,-10.24035987
warrior,-10.94194592
squad,-11.3059113
glad,-10.27165688
attorney,-9.379943156
specifically,-10.07927053
neighborhood,-9.470407277
privilege,-10.94761166
revenue,-9.905489555
read,-8.279981068
guess,-9.144842936
purpose,-9.325751223
night,-7.799294863
