word,logfreq,wlen
infection,-4.670780000000001,9
territory,-4.4064955999999995,9
snow,-4.422576,4
killer,-4.729112000000001,6
anybody,-4.792212999999999,7
national,-3.633573,8
maintenance,-4.710856400000001,11
cute,-5.3284199999999995,4
Muslim,-4.243435,6
vocal,-4.955449,5
assumption,-5.157321,10
submit,-4.885962999999999,6
none,-4.3990339999999994,4
legacy,-4.719974,6
live,-3.8025849999999997,4
quiet,-4.57108,5
cheap,-4.545966,5
bishop,-5.232869,6
tension,-4.798456,7
aid,-3.9935224000000002,3
trailer,-5.105626999999999,7
surveillance,-4.675003500000001,12
pink,-4.8716935999999995,4
door,-4.2268,4
southeast,-4.951931500000001,9
physically,-4.9290876,10
fiction,-4.9748626,7
mansion,-5.0842547,7
market,-3.406794,6
guidance,-4.6693563,8
cloud,-4.9028415999999995,5
formal,-4.5110273,6
storm,-4.29418,5
cause,-3.9351887999999997,5
final,-3.6245768,5
northwest,-4.7625275,9
cigarette,-5.0333120000000005,9
reading,-4.298947,7
simply,-4.033631,6
breathing,-4.8827558,9
dock,-5.2525434,4
specify,-5.2404623,7
entertainment,-4.462436,13
recording,-4.6723623,9
affair,-4.568576999999999,6
norm,-5.3451824,4
logical,-5.2847238,7
equally,-4.6916504,7
conclusion,-4.743627,10
celebrity,-4.5803709999999995,9
wheelchair,-5.2100615999999995,10
pretend,-5.2658724999999995,7
arrest,-4.1874814,6
sector,-4.0000024,6
data,-3.7977027999999997,4
expansion,-4.467383,9
bureau,-5.0189379999999995,6
fish,-4.4183965,4
sacred,-5.302027,6
color,-4.718749,5
accuracy,-5.1165785999999995,8
bacteria,-4.9450755,8
survivor,-5.201592,8
unique,-4.435436,6
satisfaction,-5.0399356,12
versus,-4.7492356,6
trigger,-4.839427,7
member,-3.87598,6
blond,-5.4801617,5
psychologist,-5.2029777,12
frequent,-4.768579,8
company,-3.226108,7
brother,-4.214451,7
French,-3.8500926,6
particularly,-3.977576,12
shed,-4.6977057,4
render,-5.588107,6
creation,-4.5663285,8
monument,-5.3136220000000005,8
following,-3.7219045,9
available,-3.7573152000000003,9
gasoline,-4.584611,8
politically,-4.651013,11
dynamics,-5.4165730000000005,8
designer,-4.574433999999999,8
invasion,-4.585217,8
continuing,-4.294308,10
busy,-4.523167,4
isolated,-4.8017154,8
indeed,-4.529045,6
account,-4.0813494,7
innovative,-4.7163095,10
background,-4.572236,10
treasure,-5.256548400000001,8
various,-4.210319999999999,7
painting,-4.744924,8
talk,-3.9707181000000005,4
salt,-4.829146400000001,4
loop,-5.4491115,4
cattle,-4.9451237,6
protect,-4.106433999999999,7
feeling,-4.309715,7
empty,-4.5619845,5
balanced,-4.962472,8
ongoing,-4.438259599999999,7
fifty,-5.658839700000001,5
sue,-5.1308155,3
mystery,-4.8524265,7
therapist,-5.3948540000000005,9
coalition,-4.275947599999999,9
priest,-4.965423599999999,6
orange,-4.960234,6
prior,-4.4122295,5
reaction,-4.4993377,8
uncle,-5.088433,5
jail,-4.2790265,4
raise,-4.014275,5
least,-3.4820627999999996,5
similar,-3.8963205999999997,7
exploit,-5.1380004999999995,7
ally,-4.6729765,4
brush,-5.150119,5
enable,-4.7157445,6
sack,-5.275503,4
understanding,-4.491412,13
reform,-4.10105,6
main,-3.836613,4
language,-4.2964005,8
see,-3.4027038,3
jazz,-4.963470500000001,4
debt,-3.895179,4
struggle,-4.4275519999999995,8
cable,-4.475202599999999,5
tie,-4.445735,3
trouble,-4.268237999999999,7
build,-4.0171437,5
pencil,-5.6359143,6
others,-3.6903172,6
message,-4.0710554,7
texture,-5.511481,7
sneak,-5.416714700000001,5
playoff,-4.602107,7
cross,-4.4690123,5
wide,-4.2362676,4
await,-5.3104997,5
transformation,-5.0901685,14
historically,-5.0401144,12
cheer,-5.167513,5
relevant,-4.679372,8
hurry,-5.40731,5
squad,-4.3938203,5
cottage,-5.2804519999999995,7
margin,-4.4985657,6
divine,-5.5535164,6
passenger,-4.513343,9
ignore,-4.84563,6
season,-3.4652087999999996,6
championship,-4.420853599999999,12
vacation,-4.780088,8
do,-3.1519475,2
character,-4.3296876,9
tobacco,-4.8256760000000005,7
scare,-5.0337819999999995,5
continue,-3.7822727999999994,8
society,-4.2329926,7
downtown,-4.595225,8
cocaine,-4.6935253,7
adjustment,-5.2576294,10
anger,-4.504726,5
pollution,-4.7154903,9
box,-4.296078,3
may,-3.2387671,3
openly,-4.847654299999999,6
sometimes,-4.1568154999999996,9
marriage,-4.241061,8
perfectly,-4.779073,9
photograph,-4.874494,10
embrace,-4.8976574,7
tactic,-5.1079907,6
excitement,-4.963121,10
stock,-3.9163992,5
tradition,-4.6420765,9
regularly,-4.519160299999999,9
burning,-4.7402663,7
economically,-5.1215124,12
elementary,-5.145611,10
connection,-4.339732,10
strange,-4.768164,7
awful,-5.006402,5
consultant,-4.699253,10
capacity,-4.3306527,8
surgery,-4.236024400000001,7
bell,-5.19789,4
female,-4.270157299999999,6
joke,-4.841007,4
sense,-4.010215799999999,5
replacement,-4.6111379999999995,11
garage,-4.933356,6
stupid,-4.873599,6
repeatedly,-4.4140453,10
deadly,-4.557409,6
commonly,-4.971846,8
destination,-4.772521,11
developing,-4.1814218,10
classical,-5.062251,9
portfolio,-4.558371,9
dancing,-4.836023,7
south,-4.0953800000000005,5
volunteer,-4.8635187,9
count,-4.384841000000001,5
quantity,-5.2492504,8
bow,-5.18505,3
delicate,-5.048664,8
sustain,-5.044247599999999,7
call,-3.7010634,4
towards,-4.1699524,7
assure,-5.182891000000001,6
sole,-4.8986893,4
need,-3.4656962999999994,4
brave,-4.999072,5
opposed,-4.3823300000000005,7
possess,-5.3127275,7
knife,-4.719489,5
bike,-4.7873554,4
remarkable,-4.6988726,10
sea,-4.274687,3
vitamin,-5.1412244000000005,7
married,-4.272666,7
care,-3.6089191,4
embarrassed,-5.1642475,11
presidential,-3.8574917,12
piece,-4.288481,5
endure,-5.27653,6
gathering,-4.6025205,9
structure,-4.489008999999999,9
eighth,-4.512971,6
unprecedented,-4.6079300000000005,13
noise,-4.796003,5
software,-4.183167,8
all,-2.9083927000000003,3
explanation,-4.792247,11
touchdown,-4.525257,9
sake,-5.074918299999999,4
racism,-5.032432599999999,6
boost,-4.208515,5
individual,-4.1809845,10
behavioral,-5.430409,10
rush,-4.70641,4
popularity,-4.6558589999999995,10
better,-3.571567,6
partnership,-4.484175,11
chew,-5.809943700000001,4
driveway,-5.4451540000000005,8
label,-4.6887474000000005,5
obligation,-4.859252,10
medication,-4.811571,10
index,-4.0953254999999995,5
apology,-4.861815,7
appreciate,-4.860827400000001,10
somehow,-4.752267400000001,7
exposure,-4.576397,8
mentor,-5.2212252999999995,6
oak,-5.4837894,3
trading,-3.9628675,7
blame,-4.405914,5
border,-4.0182195,6
gain,-4.246013,4
retain,-4.726093,6
abortion,-4.5479198,8
withdraw,-4.715772599999999,8
shout,-5.3844547,5
Catholic,-4.412075,8
peer,-5.0721498,4
chance,-3.8909297,6
separation,-5.117932,10
diamond,-5.065968499999999,7
incorporate,-5.3547955,11
diminish,-5.4485,8
create,-3.986073,6
butter,-5.0449705,6
dream,-4.5550804000000005,5
above,-3.9848587999999996,5
proposal,-4.181900499999999,8
prize,-4.507288,5
honey,-5.3802595,5
required,-4.0908,8
cell,-4.3005943,4
rolling,-4.7994485000000005,7
seem,-4.05947,4
definition,-4.902623999999999,10
excellent,-4.558745,9
belt,-4.9009767,4
handsome,-5.292969,8
race,-3.8289495000000002,4
select,-4.802508,6
strictly,-5.1680727,8
foundation,-4.6373105,10
bronze,-4.9207196,6
toxic,-4.7489,5
distract,-5.492149400000001,8
gallery,-4.827024,7
photo,-4.5339613,5
airport,-4.1888056,7
comfortable,-4.5654483,11
would,-2.7204832999999997,5
shore,-4.8042364,5
breath,-4.951931500000001,6
today,-3.5398116,5
boat,-4.490032,4
purchase,-4.3189173,8
management,-3.9298837,10
lip,-5.3643746,3
he,-2.4259574,2
transportation,-4.6396275000000005,14
familiar,-4.370191,8
be,-2.4151566000000004,2
vary,-5.0248265,4
import,-5.0045304,6
approximately,-4.38734,13
perspective,-4.7817287,11
defendant,-4.932144999999999,9
permission,-4.6172642999999995,10
strong,-3.7999330000000002,6
manipulate,-5.5127180000000005,10
device,-4.3723893,6
subject,-4.1426888,7
literary,-4.9919705,8
demonstration,-4.871613,13
rental,-4.8555727,6
flour,-5.378957,5
refuge,-5.096367400000001,6
federal,-3.6732099999999996,7
father,-3.8654813999999997,6
alternative,-4.3285160000000005,11
league,-4.1725407,6
fence,-4.8720984000000005,5
at,-2.3431957000000003,2
wildlife,-4.81454,8
transaction,-4.726932499999999,11
listen,-4.6351933,6
assignment,-5.238386599999999,10
response,-4.013035299999999,8
beyond,-4.094163,6
coat,-5.077185,4
doctrine,-5.4311419999999995,8
qualify,-4.7085996,7
dare,-5.279106,4
slow,-4.305268,4
barely,-4.5732117,6
Olympic,-4.141693,7
increasingly,-4.181529,12
citizen,-4.7581763,7
pleased,-4.5993757,7
AM,-5.2946800000000005,2
appeal,-4.127393,6
TV,-3.8780233999999996,2
demographic,-5.182477,11
regulator,-4.798764,9
exchange,-4.175608,8
trace,-4.998530000000001,5
exceed,-5.024711,6
post,-4.0907800000000005,4
particular,-4.202356299999999,10
spark,-5.0756296999999995,5
active,-4.375785400000001,6
governor,-4.152068,8
cliff,-5.3145185,5
format,-4.8865485,6
water,-3.7227392,5
award,-4.333689,5
wife,-3.8029542000000003,4
rumor,-5.587897,5
minister,-3.7935333,8
feedback,-5.154286,8
economics,-4.7854276,9
experienced,-4.4139886,11
beauty,-4.669864,6
yes,-4.564369999999999,3
sodium,-5.514669400000001,6
closer,-4.3391385,6
laboratory,-4.893383999999999,10
comprehensive,-4.58311,13
drag,-4.959144599999999,4
ideological,-5.152815,11
machine,-4.48454,7
review,-4.047864,6
famous,-4.3002687,6
calculation,-5.38989,11
debate,-4.015175,6
gather,-4.813902,6
till,-5.234079,4
monthly,-4.4692682999999995,7
mere,-4.886339700000001,4
increasing,-4.220793700000001,10
sex,-4.105345,3
statistical,-5.263972,11
hand,-3.922468,4
key,-3.7977199999999995,3
wheat,-5.0141945,5
wet,-4.9622725999999995,3
formula,-4.9087048,7
creative,-4.6513295,8
scholarship,-5.1867175,11
aircraft,-4.2368955999999995,8
negotiate,-4.7593927,9
and,-1.7058843000000001,3
contemplate,-5.55449,11
seller,-5.1161523,6
figure,-4.0738044,6
similarly,-5.009114,9
happiness,-5.163138,9
weekend,-3.8960125,7
dependent,-4.906552,9
prefer,-4.7136025,6
southern,-4.119383999999999,8
officially,-4.58286,10
output,-4.5463867,6
commissioner,-4.6947885000000005,12
holy,-4.9601846,4
more,-2.6864822,4
chronic,-4.812735,7
grow,-4.288946,4
patience,-5.0866375,8
organizational,-5.622262999999999,14
leather,-4.988939299999999,7
below,-4.0988809999999996,5
campaign,-3.5603545,8
powerful,-4.162247,8
here,-3.5616282999999997,4
head,-3.6206602999999995,4
facility,-4.297187,8
dying,-4.734388,5
architect,-4.9463230000000005,9
molecule,-5.720793700000001,8
mandate,-4.805937,7
yourself,-4.517314,8
fitness,-4.788089299999999,7
arrangement,-4.8904595,11
most,-3.1109948,4
toll,-4.4952717,4
attract,-4.6191373,7
roughly,-4.4639050000000005,7
easy,-4.117627,4
teenager,-4.551737,8
prompt,-5.1515803,6
highly,-4.213623,6
magnetic,-5.3159785,8
childhood,-4.6721580000000005,9
outlet,-5.267278,6
arena,-4.8910933,5
smooth,-4.943736599999999,6
distribution,-4.5220623,12
cabinet,-4.5591784,7
icon,-5.0208163,4
odd,-4.799106,3
pray,-5.1602983,4
maintain,-4.3788433,8
behave,-5.236415,6
republic,-5.006292,8
immediately,-4.015496,11
product,-4.0795307,7
exactly,-4.2798333,7
steer,-5.187889,5
rice,-4.791843,4
dirty,-4.9080005,5
liability,-5.006346700000001,9
reward,-4.7841363,6
hostage,-4.918461,7
counter,-4.7009974,7
previous,-3.873828,8
teacher,-4.4049187000000005,7
intensity,-5.019620400000001,9
effectiveness,-4.9953456,13
costume,-5.2211347,7
parent,-4.5186577,6
ability,-4.0517224999999994,7
necessary,-4.194825,9
gift,-4.6260443,4
trauma,-5.084585,6
beautiful,-4.522949700000001,9
cite,-5.3001785,4
policeman,-5.0437064000000005,9
Ms,-4.1168084,2
collaboration,-4.90102,13
plenty,-4.398843299999999,6
youth,-4.49121,5
budget,-3.9514074,6
patrol,-4.7304544,6
hope,-3.8710562999999993,4
far,-3.5406623,3
ours,-5.3214135,4
alongside,-4.435895400000001,9
towel,-5.4914746,5
recession,-3.9586265,9
killing,-4.008999,7
fault,-4.762685,5
favor,-4.5131307000000005,5
cultural,-4.466395400000001,8
biography,-5.221858999999999,9
rape,-4.6083713,4
leadership,-4.1648374,10
monkey,-5.4123383,6
nearby,-4.218306500000001,6
asleep,-5.1620317,6
option,-4.218208,6
yard,-4.9111347,4
example,-3.9607022000000005,7
comparison,-4.723209400000001,10
Russian,-3.9760969,7
nor,-4.36142,3
compound,-4.7576160000000005,8
oversee,-4.995991,7
recently,-3.7913660000000005,8
experimental,-5.143866,12
guard,-4.3669142999999995,5
level,-3.8148922999999995,5
alike,-4.992718,5
Congress,-3.8218513,8
trap,-5.223038,4
sand,-4.8810577,4
billion,-3.349526,7
student,-4.1073794,7
department,-4.124364,10
faculty,-5.091978500000001,7
curious,-5.045996700000001,7
earth,-4.7150669999999995,5
researcher,-4.824368,10
ethical,-5.079007,7
however,-3.8173517999999995,7
bid,-4.0466093999999995,3
evening,-4.157159,7
drawing,-4.597628599999999,7
river,-4.532644,5
engagement,-4.858702,10
seven,-3.746296,5
wall,-4.377649,4
eye,-4.318861,3
compare,-4.9474773,7
punish,-5.140022,6
portray,-5.282739,7
dip,-5.1411489999999995,3
define,-5.019563,6
swear,-5.5527396,5
reason,-4.0005136,6
end,-3.39459,3
totally,-4.661157599999999,7
gently,-5.2189693,6
corporation,-4.9700665,11
progress,-4.1685156999999995,8
vendor,-5.367024400000001,6
fantastic,-4.8221964999999996,9
desk,-4.865508,4
constitute,-5.208565,10
tap,-4.9043655,3
grateful,-5.012737,8
publisher,-4.840593,9
will,-2.569248,4
reduction,-4.461664,9
association,-4.5420284,11
gender,-4.8526974,6
telescope,-5.345062,9
squeeze,-4.9480557,7
sequence,-5.1309624000000005,8
bottom,-4.3484235,6
imply,-5.488451,5
tremendous,-4.9512506,10
employ,-5.065905,6
tournament,-4.189764,10
immigration,-4.4120610000000005,11
standard,-4.295305,8
meal,-4.824658,4
seal,-4.9453154,4
document,-4.493829,8
book,-3.8807697,4
whose,-3.6780574,5
validity,-5.6055064,8
meat,-4.596618,4
length,-4.6934986,6
act,-4.1086273,3
celebrate,-4.661756,9
scope,-4.9009767,5
speed,-4.2796884,5
tackle,-4.4427414,6
uncomfortable,-4.9998865,13
thanks,-4.412201400000001,6
constant,-4.7188344,8
excited,-4.7648934999999994,7
less,-3.5263631,4
also,-2.8303092,4
each,-3.529901,4
production,-3.8879879999999996,10
legislator,-5.5527396,10
negative,-4.3737497,8
occasionally,-4.835873599999999,12
