word,logfreq
Novartis,-12.77013462
Bank,-8.67032384
impact,-9.144380059
Nash,-11.84610861
floated,-12.08973777
employ,-11.66467734
pumps,-12.13276664
robbing,-12.94102857
calorie,-12.91628062
combine,-11.58787461
charisma,-12.84978933
WHO,-11.53544567
pitched,-11.11421444
item,-11.32735622
swung,-12.18016627
fumes,-12.86273861
equipped,-11.31989884
rape,-10.61116706
Museum,-10.31831208
Nina,-12.64847662
unforced,-12.93946443
fulfill,-12.21769611
emerged,-9.90943514
rashly,-15.48426535
eurozone,-11.20205299
attempts,-10.15241313
slavery,-12.28229214
engulfed,-12.47670331
beating,-10.30106411
bloggers,-11.85947074
Abkhazia,-12.07119321
Camp,-11.19985448
Bain,-12.87243917
leagues,-12.03827315
mounting,-11.09088142
bumped,-12.74450455
notified,-11.63822662
brush,-11.85858724
rep,-12.61929458
Nigerian,-11.51805954
harm,-10.56510315
Driver,-12.82997351
Harper,-11.50220831
minister,-8.734933226
Clay,-12.37270844
Salt,-11.72843361
strips,-12.55339989
Fairfax,-11.66453158
mandates,-12.55304529
globally,-11.51957073
blackout,-12.95840549
Cy,-12.63416352
Deco,-12.87097864
valuable,-10.79172588
drum,-12.26011663
DJ,-11.99965972
branches,-11.20960248
Marcel,-12.85360794
risky,-11.04547628
displays,-11.40729898
besides,-11.99275956
jobs,-8.713884375
resident,-10.65982851
read,-9.289497721
prize,-10.37841416
wet,-11.42605492
motive,-11.77271923
gob,-16.30029299
umpire,-12.25747787
cup,-11.23762448
work,-7.599445394
Apart,-12.1278939
Commons,-10.59619197
Byrne,-12.23558259
anomaly,-13.32440047
min,-12.34327818
disgrace,-12.5292483
respite,-12.78342284
Kan,-12.40211705
overseen,-12.42771904
Dunford,-14.59730267
swing,-10.93187272
barrels,-10.75645327
ongoing,-10.21947039
cite,-12.204112
Jarvis,-12.77410267
bound,-10.92774994
wisely,-12.81559456
La,-10.26988872
noises,-12.75615218
checked,-11.05208608
bikes,-12.04912615
SAS,-12.78565543
Leone,-12.40089899
Kumar,-12.37715358
dollars,-8.85578003
written,-9.556377465
subtlety,-13.7961274
tactic,-11.76158324
striking,-10.66974413
Barack,-8.933095311
foe,-12.60464553
farmers,-10.20874818
chef,-11.22412511
colon,-12.58069404
slated,-11.70997379
invite,-11.76463716
host,-9.575074456
Overall,-11.23222192
Galloway,-12.46658253
Moines,-12.54107576
Saad,-12.83418632
bearing,-11.39021426
chart,-11.22112876
easing,-11.14319247
Astra,-13.50342048
towering,-12.35192899
parental,-12.26090941
oust,-12.32478542
Venture,-12.62918188
surgery,-9.753806637
CNBC,-12.49524879
Equator,-15.48426535
grunge,-14.72243504
received,-8.710955717
Thinking,-13.45252114
aimed,-9.789815153
ointment,-14.76356773
paying,-9.691880683
whether,-8.123792834
patches,-12.54107576
brewing,-12.62232662
Scot,-11.93309428
greatest,-10.21406024
sacks,-12.26754247
defended,-10.72819065
due,-8.501991515
toast,-12.60838032
neurotic,-14.04741081
suicides,-12.46366377
Bowen,-12.74407627
Wendy,-12.07887785
tragedy,-10.94575961
eternal,-12.80005948
GAAP,-11.88420119
losers,-12.12097256
tasks,-11.63737558
Mark,-9.382702682
stack,-12.6261298
Carter,-10.53962183
festive,-12.24256794
Rights,-10.46229595
dome,-12.93738128
Classics,-13.64911885
asleep,-11.88601724
Chanel,-12.61627243
visitor,-11.63327238
debt,-8.9689811
Come,-11.66249448
unite,-12.18138756
Pacers,-12.73681391
Owens,-11.8310276
Sri,-10.49853081
mate,-11.11018883
Nomura,-12.65237973
particle,-12.9399855
suburbs,-11.61300963
Luckily,-12.75182216
savours,-17.21837051
easily,-9.938433896
worn,-11.40381379
five,-7.894911271
lists,-10.98005892
plethora,-13.35947575
humor,-11.66949665
PAD,-12.84408767
AT,-10.78602238
blankets,-12.43210362
warm,-10.58252451
revision,-12.44219585
Zone,-11.83793305
Sun,-10.51178081
meat,-10.58410408
passions,-12.92241056
grinding,-12.80962626
airlines,-10.47511467
She,-7.981004467
penchant,-12.87000465
maritime,-12.08529055
Byers,-13.34529781
Brighton,-11.86106482
Staples,-12.35454012
notebook,-12.73766472
yearly,-12.34155676
Kelley,-12.64420003
ally,-10.75992603
glossy,-12.78297752
Sheila,-12.54107576
Lloyds,-10.93629207
secrecy,-11.89477996
Skinner,-12.77498617
past,-8.052269015
backlog,-12.22430222
Mbeki,-11.67374952
ladies,-11.89771806
Monty,-12.57705987
prised,-15.49092765
lobbying,-11.1793822
tales,-11.95446918
trimmer,-15.37135464
hedge,-10.54564631
GE,-11.59777112
monster,-11.99174942
Rock,-10.25469396
animals,-10.00142572
Mohammad,-11.39554267
roads,-10.11578245
ailments,-12.71076822
resolve,-10.61274249
inch,-11.87624968
feral,-13.58647702
adjourn,-14.59184715
wicker,-14.83035099
U,-12.66418347
coins,-12.26994176
Barry,-10.7119344
lineup,-11.03130295
sodium,-12.69799555
upbeat,-11.69815462
notched,-12.75095869
Penn,-11.2319387
optimism,-11.11876066
pose,-11.05810389
purity,-13.02995994
ink,-12.17967927
scale,-10.10359948
Haiti,-10.25836336
tariffs,-12.18187617
forever,-11.23449319
Still,-9.827006278
weekends,-11.70434857
realism,-13.00016748
Dawn,-12.03089267
racism,-11.58760429
contrast,-10.31264197
seven,-8.626165324
Smith,-9.24058713
tore,-12.04613556
costs,-8.677350869
pianist,-12.39241856
Tessa,-13.48077616
Piecing,-17.57632348
Istanbul,-11.92815294
Jonathan,-10.53123995
planes,-10.57265103
Perry,-10.97580605
owners,-9.70134592
Algerian,-12.58690319
aka,-12.76705929
wiping,-12.88371424
going,-7.844848235
Paper,-12.38490753
sickened,-12.6080073
Karzai,-10.32921022
hardware,-11.37679894
Grace,-11.89294733
Admiral,-12.36769341
licenses,-11.6700815
stamps,-12.15559078
Rhyl,-14.06171769
skull,-11.82263306
Private,-11.08760346
slice,-11.81430853
rated,-11.34815593
Denmark,-11.1878465
teenage,-10.67146877
Barclays,-10.58896185
scrap,-11.46203833
Raul,-11.93633863
Cape,-11.24277006
lovely,-11.41147403
brim,-14.61663517
overtime,-10.93903837
amounts,-10.45888721
Chief,-9.666498597
replace,-10.05370729
retired,-10.04776064
Philip,-10.88363126
Teachers,-11.87642997
sacred,-12.20836833
Kathy,-12.41807995
proceeds,-11.11169633
bread,-11.36766458
Hugo,-11.45268385
directs,-12.75095869
spree,-11.95622283
domestic,-9.431552485
Disney,-10.60080704
libert,-20.55427912
poppies,-13.51170057
fetching,-13.88597887
Theodore,-12.6817522
floor,-9.708384922
Shearer,-12.49324646
Worth,-12.09420547
Studio,-12.41468226
searches,-11.42927324
column,-10.94122582
indices,-12.74150658
Bureau,-10.68401095
Earth,-10.20180749
valleys,-12.90111787
dignity,-11.84227342
thrilled,-11.8473322
hygienic,-14.97500031
Lankan,-11.77044888
Amid,-11.90232622
Girls,-11.59641029
issuers,-12.69840518
deepen,-12.71784222
luncheon,-13.16214052
Gone,-12.38430794
ignited,-12.50871062
Balls,-11.75965897
Roeder,-12.83184321
Blood,-11.96621697
office,-8.361177844
dentist,-12.50128479
fuels,-11.40414973
contains,-10.78161523
Pam,-12.92292335
made,-7.29927948
articles,-11.25044228
dribble,-14.15214228
rarity,-13.13072935
pirates,-10.74349731
marks,-10.59995278
He,-6.739239668
American,-7.753997668
drawing,-10.58643108
equally,-10.80292427
Perez,-11.73372726
beastly,-15.47764542
Julian,-11.87050634
madness,-12.59094146
strained,-11.43215539
premiums,-11.35315714
protocol,-11.99255739
fable,-14.11094144
slows,-12.85504475
Let,-10.35915925
field,-9.009309727
Steelers,-11.84803104
Calgary,-12.11318568
helped,-8.91687429
employer,-11.1760697
Knicks,-11.3701569
pink,-11.21748906
firewood,-14.02555536
Fisher,-11.21646464
seniors,-11.54794088
Bright,-12.75658621
activism,-12.64614134
wounds,-11.03875412
February,-8.905681654
blunt,-12.02440099
So,-8.490336289
chanting,-12.29179168
job,-8.429452255
Pizza,-12.83231202
Malawi,-12.41068037
nuisance,-12.90061613
drone,-11.87787024
forgiven,-12.5144862
Rugby,-11.72008444
Tomorrow,-12.46755721
Musical,-12.56803143
Brendan,-12.16203802
Fox,-10.0359737
quantity,-12.08684572
whatever,-10.25768594
maneuver,-12.76180848
nanotech,-16.25622543
explores,-12.72665122
Rene,-12.9021211
Jews,-10.87658535
credence,-13.65336712
Social,-10.45840689
slips,-12.68054472
called,-7.941971505
clothing,-10.64800543
Imam,-12.84931293
Hawks,-12.11273046
moving,-9.456148929
bubbles,-12.3697556
Duchy,-14.25156491
gripping,-12.76662019
cooked,-11.97591454
Pamela,-12.53236508
engage,-10.89227378
Slovenia,-12.36270439
slowdown,-10.88770868
pipe,-11.71501553
Kercher,-11.9397856
Senior,-10.82306406
radios,-12.86806265
recent,-8.175888592
target,-9.463926371
interest,-8.584757245
Egypt,-10.35192061
pitcher,-11.16992226
royalty,-12.34270414
castle,-12.25774174
Logan,-12.38072373
broader,-10.59424237
honestly,-12.21921673
Teesside,-12.73681391
Opera,-11.48258891
Addis,-13.53790399
orderly,-12.63262747
Walt,-11.74914076
Abraham,-12.07294409
chin,-12.86322123
Kashmir,-11.8471572
Masters,-10.8604212
V,-11.87104307
Ventures,-12.61401014
quo,-12.14094173
rash,-12.40150848
Flower,-12.62270632
tenure,-11.3432855
Wii,-11.66336716
Majesty,-12.92960936
Top,-10.58346166
sluggish,-12.01795007
Chaudhry,-12.70127582
NAACP,-12.87049141
Ark,-12.23713107
acre,-12.78208596
Barrett,-12.20586312
stocked,-12.85792298
Holloway,-12.65433762
attended,-10.12180602
lawyer,-9.539310704
Adan,-15.4451944
Owners,-12.91373672
bred,-12.77101536
payments,-9.758406972
Keane,-11.82724997
Peer,-12.94626396
Bulldogs,-12.27074168
crises,-11.63539306
collect,-10.89787505
Akubio,-20.55427912
Lula,-12.2469919
PhD,-12.72496711
admit,-10.86768172
tacky,-13.84647802
oryx,-16.51749446
Speedway,-12.76006427
Either,-11.89496348
order,-8.824261324
viewing,-11.37865712
variable,-12.33270931
stick,-10.63574808
corrupt,-11.34804955
Grounds,-14.30320499
lizards,-13.76589814
WFP,-12.93012583
Unlike,-10.9125287
fraud,-9.840429888
autonomy,-11.95252488
Katz,-12.71575608
INLA,-14.94357463
CD,-11.62637959
visual,-11.30210216
brake,-12.24464786
Steele,-11.93347536
void,-12.37270844
excited,-10.97157274
Upper,-11.73560156
pence,-12.34069698
Sumatra,-12.93064322
ago,-8.019018995
closing,-9.966404319
FM,-12.80005948
tortoise,-13.92430839
Roddick,-11.41839675
Abingdon,-14.37941825
minute,-9.79346383
downs,-12.46885978
quoting,-12.21289522
probes,-12.75962954
Owen,-11.16072665
colours,-12.05535073
seem,-9.347275107
Bellamy,-12.69799555
money,-7.854237487
Animal,-11.88819986
exists,-11.40314051
measures,-9.325159238
started,-8.681258586
internet,-9.914586023
aircraft,-9.755812649
Nicklaus,-12.90262307
timber,-12.30746008
Bridge,-10.72300753
applaud,-12.75745429
French,-8.865165827
Scottish,-9.739596463
Snow,-11.88801888
Dave,-10.80606776
Trinity,-12.26038143
tougher,-10.85716765
halted,-11.37548877
update,-10.75704204
Welcome,-12.23971665
stormy,-12.92343613
unnamed,-11.47846958
outgoing,-11.83602881
Vince,-11.95271922
course,-8.708807866
Hester,-12.71575608
offences,-11.04877566
gains,-10.04810764
fathered,-12.95099693
aspects,-11.02007785
Noel,-12.4393464
disguise,-12.58142327
trailing,-11.61453279
Timeplan,-20.55427912
studying,-10.95962578
goodbye,-12.25458352
akin,-12.3804267
lonely,-12.15155274
Latinos,-12.41653354
Purdue,-12.41252543
homage,-12.57705987
climate,-9.173725124
Carl,-11.20370533
idiots,-12.80733979
Also,-9.854871472
bits,-11.73575814
garden,-10.43568866
Idaho,-11.6036464
value,-9.020106548
latitude,-13.44731039
Waxman,-12.29726193
selfish,-12.64730783
buck,-12.35337823
pretax,-12.90312595
Maguire,-12.90161914
Le,-11.03711928
tramping,-15.72315787
names,-9.721424462
Bentley,-12.21339948
Having,-10.65626112
splendid,-12.92754786
retiree,-12.80506023
safer,-11.28113666
rampant,-12.04891201
arduous,-13.24421548
name,-8.724692019
Will,-10.13244972
Mae,-11.1212113
paved,-12.4889176
winking,-14.66228231
unless,-9.984534874
UN,-9.864286051
Abe,-12.8608095
Annual,-11.35529371
flames,-11.3114723
woodland,-12.65237973
Nestle,-12.85792298
boss,-10.28843973
iPhone,-10.31490656
Really,-12.39000845
holding,-9.492309186
roasted,-12.96213108
coup,-10.70337454
Busby,-13.99065439
online,-8.840480043
Miller,-10.19371114
sheikhs,-14.69491685
Bernanke,-10.6952752
pining,-14.70400561
steroids,-11.59206531
audit,-11.50047539
Apple,-9.833871205
tanker,-11.85752574
baby,-9.754431328
goes,-9.429087568
prolific,-12.35366928
wired,-12.8309079
firms,-9.558591861
prizes,-11.82862255
months,-7.79951471
Lionel,-12.46983608
closely,-10.09346925
Kris,-12.24803589
FEMA,-12.49558359
embargo,-12.10727218
plasma,-12.64071391
counted,-11.22948415
thesis,-12.90463461
execute,-12.30884624
Wis,-12.3864049
whisky,-12.87536852
Streets,-12.76050061
ward,-11.72812277
Harry,-10.20535647
screens,-11.24267405
Marines,-11.1536241
saga,-12.06334922
retail,-9.859508187
euro,-10.11621649
Rosa,-12.6705363
looks,-9.497215995
Buffy,-14.29710912
saves,-11.01185371
nearly,-8.453365292
tributes,-12.76224482
deluge,-13.23506731
flown,-11.22553291
anything,-9.053513604
pooling,-14.18419726
beam,-12.57452311
Angel,-11.64277653
Whoever,-12.86854803
wells,-11.99965972
IPL,-12.59425719
cue,-12.81467445
broke,-9.511829351
Miles,-11.88365663
Mission,-11.75582125
