word,logfreq
rematch,-12.87097864
changes,-9.052166592
wording,-12.96801326
scratch,-12.03510341
inhaled,-13.50158992
dialect,-13.72163186
whisked,-13.31753048
blinded,-13.47008595
richest,-11.59274227
bruised,-12.29342997
jerseys,-13.16736394
stymied,-13.19726416
rewards,-11.67286832
seafood,-12.3750778
quality,-9.424239014
appears,-9.554751149
suspend,-11.51868884
impress,-12.37152652
briefed,-11.63327238
lending,-10.01846715
tougher,-10.85716765
extract,-12.05880162
overrun,-13.05071613
silicon,-13.02768107
employs,-11.3687468
affects,-11.3649625
secrecy,-11.89477996
embassy,-10.8578826
limited,-9.627109886
dashing,-13.14343202
ensures,-12.49024758
fitness,-11.02498305
abusing,-11.99053688
jarring,-13.51540083
sparked,-10.62333023
outlook,-10.47100041
article,-9.336965743
invalid,-13.16279216
wonders,-12.05599707
pickups,-13.3999476
content,-9.896624477
clearly,-9.767477315
sharper,-12.80369388
infield,-12.72622962
fallout,-11.73826335
banning,-11.57101854
slavery,-12.28229214
trained,-10.54384016
choking,-12.81191733
cartoon,-11.9546649
seizure,-12.02795619
yelling,-12.70086596
payable,-12.33413093
aborted,-13.28166772
poverty,-10.39587236
command,-10.74709856
topping,-12.32958885
affairs,-10.24912516
palaces,-13.46743107
goodies,-13.56189532
comical,-13.63230538
fragile,-11.21228706
payouts,-12.51585094
credits,-10.98403318
chemist,-13.5006758
ballots,-11.18054823
posters,-11.59532163
chipped,-12.33157413
uniform,-11.25285078
audited,-13.44904401
collide,-13.45600933
dreaded,-13.14151627
package,-9.616570493
dollars,-8.85578003
radical,-10.59674297
soybean,-13.28460812
hinting,-13.30618564
tending,-13.28313677
analyze,-12.25379465
listens,-13.29571118
auditor,-13.08027488
amnesty,-11.94362907
stories,-9.956772835
invoked,-12.73894381
illicit,-12.28472666
firings,-13.36424648
battles,-11.11144489
funeral,-10.72153157
derived,-12.08662283
sisters,-11.36399081
wrought,-13.21977492
condemn,-12.13463035
blowing,-11.83845251
balcony,-12.29233739
scooter,-13.0282505
spewing,-13.58052116
impacts,-11.95330177
renamed,-12.50532813
skaters,-13.45252114
anxious,-11.43585656
becomes,-10.24369359
heavens,-13.45775837
pursuit,-11.2573977
elected,-9.829676586
excerpt,-13.6250368
reclaim,-12.38311221
traders,-10.87844123
breakup,-12.85648249
careful,-10.97135423
rejects,-12.35163978
posture,-12.87146541
outings,-12.68014177
mention,-10.38329564
pyramid,-13.03740489
indulge,-12.85552369
garbage,-11.80655572
barking,-13.34139447
diocese,-12.55481759
combine,-11.58787461
shields,-12.81974842
staffed,-12.92754786
causing,-10.09607578
vantage,-13.65656541
despite,-8.82688512
noticed,-10.82331435
looters,-13.55222906
replied,-11.47955732
pockets,-11.53212212
cripple,-13.40657835
metrics,-13.29422302
tenants,-11.67360446
cinemas,-12.57778587
console,-11.8958799
eagerly,-12.46431218
promote,-10.31354665
glacial,-13.67379704
steeped,-13.29645492
uranium,-10.7565707
specify,-12.06661037
maximum,-10.42327773
markets,-8.631770737
actress,-10.33543779
organic,-11.0070116
inflict,-12.88865559
groomed,-13.32363509
cracked,-11.89496348
reality,-9.805941999
drywall,-13.54838996
steered,-12.44441784
theater,-10.80686998
crystal,-12.22557716
scripts,-12.78744408
forward,-8.999682388
dropout,-13.46478425
lingers,-13.66299331
stumble,-13.08810666
evasion,-12.26754247
implant,-13.2949663
catches,-11.79172477
seniors,-11.54794088
lashing,-13.63543689
