word,logfreq,wlen
Novartis,-5.545999,8
Bank,-3.7654737999999996,4
impact,-3.9713538,6
Nash,-5.1446996,4
floated,-5.250506400000001,7
employ,-5.065905,6
pumps,-5.2691935999999995,5
robbing,-5.620217299999999,7
calorie,-5.6094694,7
combine,-5.03255,7
charisma,-5.5805926,8
WHO,-5.0097804,3
pitched,-4.826842,7
item,-4.9194083,4
swung,-5.289779,5
fumes,-5.5862164000000005,5
equipped,-4.9161696,8
rape,-4.6083713,4
Museum,-4.481186,6
Nina,-5.4931636,4
unforced,-5.6195379999999995,8
fulfill,-5.306078,7
emerged,-4.3036129999999995,7
rashly,-6.724730999999999,6
eurozone,-4.8649898,8
attempts,-4.409137,8
slavery,-5.3341317,7
engulfed,-5.418563400000001,8
beating,-4.4736953,7
bloggers,-5.1505027000000005,8
Abkhazia,-5.2424526,8
Camp,-4.864034999999999,4
Bain,-5.590429299999999,4
leagues,-5.2281556,7
mounting,-4.816708599999999,8
bumped,-5.534868,6
notified,-5.0544176,8
brush,-5.150119,5
rep,-5.4804900000000005,3
Nigerian,-5.0022297,8
harm,-4.588366000000001,4
Driver,-5.5719867,6
Harper,-4.9953456,6
minister,-3.7935333,8
Clay,-5.373399,4
Salt,-5.093594,4
strips,-5.4518723,6
Fairfax,-5.0658417,7
mandates,-5.4517183,8
globally,-5.002886,8
blackout,-5.627764,8
Cy,-5.486947499999999,2
Deco,-5.589795,4
valuable,-4.686787000000001,8
drum,-5.324501000000001,4
DJ,-5.211386,2
branches,-4.8682685,8
Marcel,-5.582251,6
risky,-4.7969894,5
displays,-4.954127,8
besides,-5.2083892999999994,7
jobs,-3.7843919,4
resident,-4.6295047,8
read,-4.0343776,4
prize,-4.507288,5
wet,-4.9622725999999995,3
motive,-5.112826999999999,6
gob,-7.0791273,3
umpire,-5.323355,6
cup,-4.8804383,3
work,-3.3003972000000004,4
Apart,-5.267077400000001,5
Commons,-4.601867700000001,7
Byrne,-5.313846,5
anomaly,-5.7867136,7
min,-5.3606176,3
disgrace,-5.4413834,8
respite,-5.551769999999999,7
Kan,-5.386171,3
overseen,-5.3972898,8
Dunford,-6.339528,7
swing,-4.7476519999999995,5
barrels,-4.6714683,7
ongoing,-4.438259599999999,7
cite,-5.3001785,4
Jarvis,-5.5477223,6
bound,-4.7458615,5
wisely,-5.565742,6
La,-4.460156,2
noises,-5.5399265,6
checked,-4.79986,7
bikes,-5.232869,5
SAS,-5.5527396,3
Leone,-5.385642,5
Kumar,-5.375329499999999,5
dollars,-3.8460164,7
written,-4.150282,7
subtlety,-5.991582,8
tactic,-5.1079907,6
striking,-4.633811,8
Barack,-3.8795940000000004,6
foe,-5.474128,3
farmers,-4.433603,7
chef,-4.874575599999999,4
colon,-5.463726,5
slated,-5.085577,6
invite,-5.109317,6
host,-4.158402,4
Overall,-4.878092,7
Galloway,-5.414168,8
Moines,-5.44652,6
Saad,-5.5738163,4
bearing,-4.9467072,7
chart,-4.873274299999999,5
easing,-4.839427,6
Astra,-5.864461,5
towering,-5.3643746,8
parental,-5.3248453,8
oust,-5.3525863,4
Venture,-5.484783999999999,7
surgery,-4.236024400000001,7
CNBC,-5.4266176,4
Equator,-6.724730999999999,7
grunge,-6.3938723,6
received,-3.78312,8
Thinking,-5.8423557,8
aimed,-4.2516627,5
ointment,-6.411736,8
paying,-4.2091303,6
whether,-3.5281184000000003,7
patches,-5.44652,7
brewing,-5.4818068,7
Scot,-5.182477,4
greatest,-4.43591,8
sacks,-5.327726,5
defended,-4.659194,8
due,-3.692368,3
toast,-5.47575,5
neurotic,-6.100713,8
suicides,-5.4129004,8
Bowen,-5.534682,5
Wendy,-5.24579,5
tragedy,-4.7536830000000005,7
eternal,-5.558995200000001,7
GAAP,-5.161243,4
losers,-5.2640715,6
tasks,-5.054048000000001,5
Mark,-4.074856,4
stack,-5.4834585,5
Carter,-4.5772996,6
festive,-5.316879699999999,7
Rights,-4.5437174,6
dome,-5.6186333,4
Classics,-5.9277370000000005,8
asleep,-5.1620317,6
Chanel,-5.4791775000000005,6
visitor,-5.052266,7
debt,-3.895179,4
Come,-5.064957,4
unite,-5.290309400000001,5
Pacers,-5.531528,6
Owens,-5.13815,5
Sri,-4.559454,3
mate,-4.825093700000001,4
Nomura,-5.4948587,6
particle,-5.6197643,8
suburbs,-5.0434660000000004,7
Luckily,-5.538046,7
savours,-7.477843300000001,7
easily,-4.316207,6
worn,-4.952613400000001,4
five,-3.4287164,4
lists,-4.768579,5
plethora,-5.801946599999999,8
humor,-5.067998,5
PAD,-5.578116400000001,3
AT,-4.68431,2
blankets,-5.3991940000000005,8
warm,-4.595932,4
revision,-5.403576999999999,8
Zone,-5.1411489999999995,4
Sun,-4.5652084,3
meat,-4.596618,4
passions,-5.6121316,8
grinding,-5.56315,8
airlines,-4.5492845,8
She,-3.4661062000000005,3
penchant,-5.589372,8
maritime,-5.248575,8
Byers,-5.7957892,5
Brighton,-5.1511949999999995,8
Staples,-5.365508599999999,7
notebook,-5.5318974999999995,8
yearly,-5.35987,6
Kelley,-5.4913063,6
ally,-4.6729765,4
glossy,-5.5515766,6
Sheila,-5.44652,6
Lloyds,-4.7495712999999995,6
secrecy,-5.1658373,7
Skinner,-5.548106,7
past,-3.4970559999999997,4
backlog,-5.308947,7
Mbeki,-5.069845,5
ladies,-5.1671133000000005,6
Monty,-5.4621477,5
prised,-6.727624400000001,6
lobbying,-4.855144,8
tales,-5.1917599999999995,5
trimmer,-6.6756945000000005,7
hedge,-4.579916000000001,5
GE,-5.036848,2
monster,-5.207950599999999,7
Rock,-4.453557,4
animals,-4.343564,7
Mohammad,-4.949021299999999,8
roads,-4.3932285,5
ailments,-5.5202165,8
resolve,-4.6090555,7
inch,-5.1577897,4
feral,-5.900532,5
adjourn,-6.3371587,7
wicker,-6.4407396,6
U,-5.499985,1
coins,-5.328768,5
Barry,-4.652133999999999,5
lineup,-4.790833999999999,6
sodium,-5.514669400000001,6
upbeat,-5.080444,6
notched,-5.537671,7
Penn,-4.877969,4
optimism,-4.8288164,8
pose,-4.8024735,4
purity,-5.658839700000001,6
ink,-5.2895675,3
scale,-4.3879375,5
Haiti,-4.4551506,5
tariffs,-5.290521599999999,7
forever,-4.879078400000001,7
Still,-4.2678145999999995,5
weekends,-5.083133999999999,8
realism,-5.645901,7
Dawn,-5.2249503,4
racism,-5.032432599999999,6
contrast,-4.4787235,8
seven,-3.746296,5
Smith,-4.013136,5
tore,-5.2315702,4
costs,-3.7685256000000003,5
pianist,-5.381958999999999,7
Tessa,-5.8546267,5
Piecing,-7.633300299999999,7
Istanbul,-5.180331,8
Jonathan,-4.5736594,8
planes,-4.5916440000000005,6
Perry,-4.766732,5
owners,-4.213241,6
Algerian,-5.4664226,8
aka,-5.5446634,3
wiping,-5.595326,6
going,-3.4069742999999995,5
Paper,-5.378697,5
sickened,-5.475588,8
Karzai,-4.485919,6
hardware,-4.940881,8
Grace,-5.165041400000001,5
Admiral,-5.371221,7
licenses,-5.068251999999999,8
stamps,-5.279106,6
Rhyl,-6.1069264,4
skull,-5.1345043,5
Private,-4.815285,7
slice,-5.130889,5
rated,-4.9284415,5
Denmark,-4.85882,7
teenage,-4.63456,7
Barclays,-4.5987277,8
scrap,-4.9779,5
Raul,-5.183886,4
Cape,-4.8826730000000005,4
lovely,-4.955940200000001,6
brim,-6.347924,4
overtime,-4.750764,8
amounts,-4.542237,7
Chief,-4.198107,5
replace,-4.3662696,7
retired,-4.3636870000000005,7
Philip,-4.726701,6
Teachers,-5.157868,8
sacred,-5.302027,6
Kathy,-5.393103599999999,5
proceeds,-4.8257484,8
bread,-4.936914,5
Hugo,-4.973837400000001,4
directs,-5.537671,7
spree,-5.192521599999999,5
domestic,-4.0960712,8
Disney,-4.603872,6
libert,-8.92661,6
poppies,-5.868057,7
fetching,-6.030604,8
Theodore,-5.507615,8
floor,-4.216298,5
Shearer,-5.4257480000000005,7
Worth,-5.2524467,5
Studio,-5.391628,6
searches,-4.9636703,8
column,-4.751714,6
indices,-5.533566,7
Bureau,-4.640007,6
Earth,-4.4305887,5
valleys,-5.6028843,7
dignity,-5.143033999999999,7
thrilled,-5.145231,8
hygienic,-6.50356,8
Lankan,-5.111841,6
Amid,-5.1691145999999994,4
Girls,-5.036257,5
issuers,-5.5148473,7
deepen,-5.5232887,6
luncheon,-5.716245,8
Gone,-5.3784366,4
ignited,-5.4324639999999995,7
Balls,-5.1071550000000006,5
Roeder,-5.5727987,6
Blood,-5.196862,5
office,-3.6312134,6
dentist,-5.429239,7
fuels,-4.9527593,5
contains,-4.682396,8
Pam,-5.6123543,3
made,-3.1700367999999997,4
articles,-4.886005,8
dribble,-6.1461973,7
rarity,-5.7026033,6
pirates,-4.665841599999999,7
marks,-4.6035010000000005,5
He,-2.9268146,2
American,-3.3675184000000002,8
drawing,-4.597628599999999,7
equally,-4.6916504,7
Perez,-5.095893,5
beastly,-6.721856,7
Julian,-5.155295400000001,6
madness,-5.4681764,7
strained,-4.9649220000000005,8
premiums,-4.9306135,8
protocol,-5.2083015,8
fable,-6.128304,5
slows,-5.582875,5
Let,-4.498925700000001,3
field,-3.9126934999999996,5
Steelers,-5.1455345,8
